adapter_sync_seconds,backward_seconds,condition,evaluation_dataset,evaluation_tasks,exact_duplicate_rate,interval_tokens,max_policy_staleness,max_residual_student_mass,mean_adapter_sync_ms,mean_completion_length,mean_gradient_norm,mean_kl,mean_output_entropy,mean_solution_length_chars,mean_solution_length_lines,mean_teacher_residual_mass,mean_teacher_student_agreement,mean_tests_passed_per_task,normalized_ast_uniqueness,normalized_teacher_token_edit_distance,optimizer_steps,pass_at_1,pass_at_1_ci95_high,pass_at_1_ci95_low,pass_at_1_per_million_anchors,pass_at_1_per_teacher_gpu_hour,peak_rollout_vram_mib,peak_student_vram_mib,policy_version_mismatch_count,rollout_generation_seconds,rollout_gpu_hours,run_dir,run_wall_clock_seconds,runtime_success_rate,sandbox_evaluation_seconds,seed,student_forward_seconds,student_tokens,student_topk_seconds,student_train_gpu_hours,syntax_success_rate,task_completion_rate,teacher_anchor_positions,teacher_edit_distance_matches,teacher_gpu_hours,teacher_requests,teacher_scored_tokens,teacher_wall_clock_seconds,test_pass_rate,total_gpu_hours_estimate
5.030434049001087,7.137772867008607,20260730T143557Z_interval32_10step_seed0_097df4a,,,,32,0,3.405979701450893e-07,503.0434049001087,53.95,3.260801315307617,0.31723646895712215,0.028949857883606767,,,6.748097283499581e-07,0.8892857142857142,,,,10,,,,,,7851.2607421875,9190.06201171875,0,136.19041153900523,0.04799518280559116,runs/smoke/20260730T143557Z_interval32_10step_seed0_097df4a,172.78265810012817,,,0,26.602814212996236,2158,3.1034603789994435,0.04799518280559116,,,73,,0.008098283546667315,40,7460,14.576910384001167,,0.10408864915784964
0.4565339840000888,0.7087767289995099,20260730T143946Z_resume_interval32_seed0_097df4a,,,,32,0,1.2914339701334635e-07,456.5339840000888,45.0,0.00011968612670898438,0.00015365945019614932,0.0001822563759129236,,,-2.9802322387695312e-08,1.0,,,,1,,,,,,7841.396484375,8971.041015625,0,11.986609641000541,0.004349394043286641,runs/smoke/20260730T143946Z_resume_interval32_seed0_097df4a,15.65781855583191,,,0,2.666866826999467,180,0.33335018700017827,0.004349394043286641,,,6,,0.0008033231616668168,4,616,1.44598169100027,,0.0095021112482401
0.0,0.0,base_student,/opt/sparse-opd/data/splits/pilot_test.jsonl,257,0.0038910505836575737,32,,,,,,,,153.82101167315176,5.147859922178989,,,2.007782101167315,0.9961089494163424,0.3990451042355606,0,0.603112840466926,0.6609871877398814,0.5422013707033255,,,,,0,0.0,0.0,runs/pilot/20260730T152905Z_base_student_seed0_7d6f8ac,0.0,0.9961089494163424,519.9654669889987,0,0.0,0,0.0,0.0,1.0,1.0,0,257,0.0,0,0,0,0.6649484536082474,0.0
0.0,0.0,base_student,/opt/sparse-opd/data/splits/smoke_test.jsonl,32,0.0,32,,,,,,,,149.5625,5.1875,,,2.15625,1.0,0.34137709547791784,0,0.6875,0.8204745836639026,0.5143332169904459,,,,,0,0.0,0.0,runs/smoke/20260730T144202Z_smoke_suite_seed0_fccdb9a/base_student,0.0,1.0,65.31503303099998,0,0.0,0,0.0,0.0,1.0,1.0,0,32,0.0,0,0,0,0.711340206185567,0.0
10.13917528300226,17.03342476800117,dense_anchor_rkl_k64_interval1,/opt/sparse-opd/data/splits/smoke_test.jsonl,32,0.0,1,0,2.5867484509944916e-07,506.958764150113,60.55,3.790234375,0.46513372340048315,0.05620944251298624,328.28125,10.75,1.873535757491672e-05,0.8868912089450797,2.09375,1.0,0.3663240214697883,20,0.6875,0.8204745836639026,0.5143332169904459,141.92815854665565,13.27784170233077,7863.7802734375,9254.2978515625,0,321.35479147699607,0.12911876479784648,runs/smoke/20260730T144202Z_smoke_suite_seed0_fccdb9a/interval_1,464.8275532722473,1.0,133.65706600699923,0,123.98774404900088,4844,6.474679056004788,0.12911876479784648,1.0,1.0,4844,32,0.051777993397776195,80,461222,93.20038811599716,0.6907216494845361,0.31001552299346913
0.44010231900028884,0.6873755380011062,dev_gradacc4,,,,32,0,2.9802322387695312e-08,440.10231900028884,8.0,81.0,0.5829499542323902,0.11964018160142587,,,-2.086162567138672e-07,1.0,,,,1,,,,,,7828.2421875,8426.31640625,0,2.562465317000715,0.0017929673194885254,runs/smoke/dev_gradacc4,6.454682350158691,,,0,2.9375004680005077,32,0.299059077999118,0.0017929673194885254,,,4,,0.0009578779511113882,4,385,1.7241803120004988,,0.004543812590088439
0.0,0.0,dev_one_step,,,,32,,,,,,,,,,,,,,,0,,,,,,,,0,0.0,0.0,runs/smoke/dev_one_step,0.0,,,0,0.0,0,0.0,0.0,,,0,,0.0,0,0,0,,0.0
0.0,0.0,dev_one_step_2,,,,32,,,,,,,,,,,,,,,0,,,,,,,,0,0.0,0.0,runs/smoke/dev_one_step_2,0.0,,,0,0.0,0,0.0,0.0,,,0,,0.0,0,0,0,,0.0
9.335183569999572,13.389576172996385,final_only_rkl,/opt/sparse-opd/data/splits/smoke_test.jsonl,32,0.0,final,0,5.662441253662109e-07,466.7591784999786,52.075,1.7413506925106048,0.08803592168063971,0.020290516755604494,161.15625,5.71875,8.098781108856201e-07,0.95,1.9375,1.0,0.33920328150721624,20,0.625,0.7706611269054578,0.4525440735307745,7812.499999999999,51.00355020847682,7851.2607421875,9190.06201171875,0,267.177363675999,0.09139116671350267,runs/smoke/20260730T144202Z_smoke_suite_seed0_fccdb9a/final_only,329.0082001686096,1.0,100.49073338600101,0,44.03931715700128,4166,5.9347257060007905,0.09139116671350267,1.0,1.0,80,32,0.01225404893277654,80,8500,22.05728807899777,0.6391752577319587,0.19503638235978188
0.0,0.0,offline_teacher_sft,/opt/sparse-opd/data/splits/pilot_test.jsonl,257,0.0,32,0,0.0,0.0,0.0,0.1636071523030599,,0.0,289.26070038910507,9.303501945525293,0.0,0.0,1.9883268482490273,0.996031746031746,0.372679908989211,300,0.6070038910505836,0.6647209791104793,0.5461350721041693,,,0.0,11172.2900390625,0,0.0,0.42065170773833316,runs/pilot/20260730T231139Z_offline_sft_seed0_7d6f8ac,1514.3461478579993,0.980544747081712,1148.3822355179946,0,0.0,474360,0.0,0.42065170773833316,0.980544747081712,1.0,0,257,0.0,0,0,0.0,0.6585051546391752,0.8413034154766663
